ㄅㄚ	八捌巴吧疤芭笆粑叭扒豝仈朳葩岊峇舥蚆玌岜哵羓釟㺩䰾䶕哱捭柭鈀
ㄅㄚˇ	把靶鈀
ㄅㄚˊ	拔跋鈸魃茇鼥軷犮菝胈詙帗柭祓袚抜秡墢坺炦颰鮁八抪湃癹茷萆
ㄅㄚˋ	罷爸霸壩耙弝灞伯猈把跁矲垻罢覇皅䎱杷靶
ㄅㄚ˙	吧罷琶杷罢欛爸叭
ㄅㄛ	玻撥剝菠缽嶓砵播般碆袚襏鱍啵柭蹳岥波餑癶肑剥盋紴鉢鮁㿺驋僠哱帗拔潑潘番發皪磻脖蕃趵
ㄅㄛˇ	跛簸蚾播
ㄅㄛˊ	伯博柏泊勃搏渤駁白薄脖帛舶箔荸蔔膊鈸餑鉑欂鵓踣浡襮踄鎛駮僰餺髆桲謈馞胉挬猼葧鋍懪簙礡鑮郣鸔糪百孛佰洎悖缽菠菔貊雹爆簿犮瓝菝軷摶濼襏叐犻妭敀洦苩栢盋湐貃愽鉢煿艊髉侼㫲㶿㼎愂牔䭯䗚鮊㩧馛亳佛募哱嚗壆彴怕拍暴服柭榑殕溥瀑犦瓟穛艴茀茷菩蒲薜袹詙豰跑魄
ㄅㄛˋ	播擘簸亳薜譒薄檗蘗挀北畚鄱孹檘襎奙蔢捭擗柏糪
ㄅㄛ˙	伯菔蔔啵膊餑卜
ㄅㄞ	掰搿挀擘
ㄅㄞˇ	百擺佰襬粨捭絔伯把柏陌栢摆罷
ㄅㄞˊ	白拜
ㄅㄞˋ	敗拜唄粺稗庍湃拝贁啡扒排派猈薜鞁
ㄅㄟ	背杯悲卑碑俾揹偝盃裨萆桮椑伓綼鵯藣埤坏婢庳捭錍阫錃䎱柸棓波箄襬諀陂鞞
ㄅㄟˇ	北邶悖
ㄅㄟˋ	被備背貝輩倍臂狽憊悖孛焙蓓褙邶琲誖鋇哱糒梖珼鄁牬郥犕奰北婢僻避昢唄偝碚鞁鼰俻㛝偹旇僃㻗蛽㫲軰愂怫拔棑棓茀菩萯葡蜚跋骳
ㄅㄟ˙	唄臂
ㄅㄠ	包胞苞褒枹笣蕔孢炮剝皰煲褻鞄褎齙剥靤裦闁襃礮礟苴葆裒鮑
ㄅㄠˇ	保寶飽堡褓葆鴇怉駂鳵媬褒煲宝珤堢寚緥裦賲闁襃寳䴐宲呆飹
ㄅㄠˊ	雹薄窇瓝箔瓟砲鉋
ㄅㄠˋ	報抱暴爆豹鮑刨趵鉋虣鑤儤菢煲袌嚗犦忁匏雹瀑謈勽报煿骲曓嘐怉曝袍髱
ㄅㄢ	班般搬斑頒扳瘢虨斒攽褩朌肦㻞辬螌卑彬搫籓豳賁鳻
ㄅㄢˇ	板版闆阪舨昄鈑粄蝂魬坂瓪般覂
ㄅㄢˋ	半辦伴扮拌絆姅瓣爿怑湴鉡靽畔办㫠秚並坢柈跘辨辯
ㄅㄢ˙	螁
ㄅㄣ	奔賁錛泍渀卉犇倴𩣺本栟蟦鐼
ㄅㄣˇ	本畚苯泍夲楍奙翉
ㄅㄣˋ	笨体坌奔泍捹桳犇逩撪𦯀獖坋夯渀炃軬
ㄅㄤ	幫邦傍梆鞤縍垹沯帮邫幇幚峀彭
ㄅㄤˇ	榜綁牓膀螃搒㧍挷騯髈紡
ㄅㄤˋ	棒磅謗蚌傍鎊旁甏塝艕徬膀玤棓蒡蚄嫎髈稖蜯並嗙埲搒榜硥縍蛖
ㄅㄥ	崩繃伻弸祊閍塴絣痭嵭綳奟傍傰嗙平抨搒旁榜
ㄅㄥˇ	菶玤琫埲誁繃琣浲漨綳鞛䭰俸唪
ㄅㄥˊ	甭甮
ㄅㄥˋ	蹦搒洴迸跰泵蚌榜磅繃堋埲塴㧍沯埄挷逬綳蜯甏錋
ㄅㄧ	逼屄偪稫豍皀毴悂螕媲幅楅笓箄紕鈚錍鎞鵖
ㄅㄧˇ	比筆彼鄙匕沘秕屄蚍妣疕潷柀朼貏仳毗媲壁貔夶佊㚰笔粃舭啚袐豼魮滗俾卑崥捭枇箄紕罷肥芘鈚
ㄅㄧˊ	鼻荸鼽
ㄅㄧˋ	必敝畢壁避璧閉鄙臂幣弊婢斃碧泌祕俾蔽庇嗶愎辟弼裨陛埤箄篦畀比嬖睥賁贔襞毖蓽蹕髀怭庳愊楅湢狴獘篳苾薜觱詖躄邲閟柲梐珌痺飶馝駜鎞鷩皕堛鉍痹腷骳坒滭熚疪妼鏎鷝柫佖蜌彃箅蓖鄪罼鮅襒鵖襣驆鼊芘粊稗嫳獙廦鄨縪佛拂秘費跛逼擘謐咇毘胇萆稫綼髲踾貔繴仏夶吡怶畁啚豼閇弻貱煏睤箆聛壀孹嚊躃鞸魓㧙枈䏟虑㻫䠋饆韠鰏鐴鐾𢕾朇仳卑奰服枇椑檗殍波潷濞瞥笓紕翍肸脾茀蘗被閈陂陴鞁鞞馥鶝
ㄅㄧㄝ	憋鱉虌癟鷩鼈㿜龞撇柭蔽蟞
ㄅㄧㄝˇ	癟蛂㿜
ㄅㄧㄝˊ	別蹩咇徶襒蟞彆蛂别吡㧙莂扒拔捌柲癟癿秘苾
ㄅㄧㄝˋ	彆縪蹩
ㄅㄧㄠ	標彪鑣鏢飆膘熛麃嘌杓滮瀌猋瘭穮颮驫摽儦臕颩髟謤墂贆蔈爂藨僄虨颷飈飊飇䮽飍脿幖徱磦𢖐剽嫖淲漂篻苞鏖驃
ㄅㄧㄠˇ	表錶婊裱俵褾檦諘剽
ㄅㄧㄠˋ	鰾摽俵標蔈
ㄅㄧㄢ	邊編鞭蝙砭籩箯稨猵甂柉楄煸揙边牑獱鍽邉鯾鯿便扁稹萹
ㄅㄧㄢˇ	扁貶匾褊窆萹惼碥砭蝙揙稨鴘糄藊封疺編緶豍辨辯釆鶣
ㄅㄧㄢˋ	便變遍辨辯汴辮忭弁釆抃緶艑卞揙汳鴘閞犿玣苄変徧辡辧昪覍拚編邲頨
ㄅㄧㄢ˙	邊
ㄅㄧㄣ	賓濱彬檳儐斌繽豳瀕邠璸蠙鑌豩汃椕霦驞份稟嬪殯鬢攽玢砏郴虨娦浜梹滨㻞禀殡賔髩濵鬂穦顮馪𠚼贇頻
ㄅㄧㄣˇ	稟禀癛
ㄅㄧㄣˋ	殯鬢儐擯臏髕鶣賓殡賔髩鬂
ㄅㄧㄥ	兵冰掤栟并屏檳仌氷幷屛梹幈絣
ㄅㄧㄥˇ	餅丙稟柄秉炳昺邴怲鞞鉼蛃陃苪窉屏庰迸芮抦昞眪屛幈棅逬禀餠餜鈵偋寎摒枋綆跰
ㄅㄧㄥˋ	並病併并摒寎鵧偋柄幵庰窉㓈幷抦倂栤竝棅逬鈵靐开傡鮩𢔧丙屏平拼燹痭誁
ㄅㄨ	逋晡餔峬鵏不鯆庯陠哺誧鈽
ㄅㄨˇ	補捕埔哺卜鳪獛訃轐堡拊撲鵏鸔
ㄅㄨˊ	不醭僕輹轐鳪
ㄅㄨˋ	不部布步怖佈簿埠鈽蔀篰捗咘阜哺捕抪陟餔歨歩㳍柨徏陠荹餢廍悑郶吥埔婄尃溥瓿薄踄附
ㄅㄨ˙	不
ㄆㄚ	趴葩啪蚆舥夿妑皅𥐙叭吧帊汃派芭
ㄆㄚˊ	爬扒琶耙杷跁筢欛潖把掱鈀
ㄆㄚˋ	怕帕帊袙汃袹帞絈
ㄆㄚ˙	杷琶欛
ㄆㄛ	波潑坡陂鏺癹翍頗沷汖昁鉕岥朴泊濼跛醱釙
ㄆㄛˇ	頗剖叵笸尀鉕駊箥
ㄆㄛˊ	婆鄱皤櫇番幡繁碆畨嘙蔢巿搫謈
ㄆㄛˋ	破迫魄珀泊朴粕醱岶烞蒪扑拍釙胉哱濼廹狛洦砶奤湐屰尃昢溥猼皛膊霸頗馞髆
ㄆㄛ˙	桲
ㄆㄞ	拍啪𢫦
ㄆㄞˇ	俖排㧳迫
ㄆㄞˊ	排牌徘俳簰棑箄輫猅啡椑犤脾
ㄆㄞˋ	派湃鎃蒎
ㄆㄟ	胚呸坏醅柸岯垺衃丕披坯怌妚抷肧啡
ㄆㄟˇ	琣昢俖
ㄆㄟˊ	培賠陪裴邳碚毰陫荖坏斐焙蓓坯岯踣醅阫裵倍婄掊棓駍
ㄆㄟˋ	配佩沛珮霈帔旆浿轡姵翇伂妃肺朏淠琲昁斾苝㻗馷嶏笩啡昢柭棑艴茇茷蜚
ㄆㄠ	拋脬泡抛抱摽穮脟藨鮑
ㄆㄠˇ	跑
ㄆㄠˊ	袍咆刨匏庖麃炰齙鞄炮瓟跑鉋袌颮狍爮軳麅礮礟包泡胞苞謈趵
ㄆㄠˋ	泡砲炮皰奅麭髱疱靤礮礟嚗犥窌胞袌
ㄆㄡ	剖吥娝捊
ㄆㄡˇ	剖瓿棓婄叵培掊咅勏犃箁哣堷抱部
ㄆㄡˊ	掊裒抔捊抙箁錇垺涪
ㄆㄡˋ	踣
ㄆㄢ	潘攀眅扳拚番㐴畨姍拌籓賁
ㄆㄢˇ	坢盻闆
ㄆㄢˊ	盤磐蟠般胖槃蹣磻踫鞶幋縏柈瀊蒰媻搫跘弁樊顢鎜卞審洀湴潘瀋爿番皤繁膰褩鄱
