ㄅㄚ	仈八叭吧哱峇巴扒捌捭朳柭疤笆粑芭蚆豝鈀
ㄅㄚˇ	把鈀靶
ㄅㄚˊ	八抪拔湃犮癹胈茇茷菝萆詙跋軷魃鼥
ㄅㄚˋ	伯壩弝把杷灞爸矲罷耙跁霸靶
ㄅㄚ˙	叭吧罷
ㄅㄛ	僠剝哱啵嶓帗拔撥播波潑潘玻番發皪砵碆磻缽脖般菠蕃袚趵蹳餑鱍
ㄅㄛˇ	播簸蚾跛
ㄅㄛˊ	亳伯佛僰勃募博哱嚗壆孛帛彴怕懪拍挬搏暴服柏柭桲榑欂殕泊浡渤溥瀑爆犦猼瓝瓟白百礡穛箔簙簿胉脖膊舶艴茀茷菩葧蒲蔔薄薜袹襏襮詙豰跑踣郣鈸鉑鋍鎛鑮餺馞駁駮髆魄鵓
ㄅㄛˋ	擗擘柏檗簸糪薄薜蘗譒
ㄅㄛ˙	卜啵蔔
ㄅㄞ	挀掰擘
ㄅㄞˇ	伯佰捭擺柏百粨絔罷襬
ㄅㄞˊ	拜白
ㄅㄞˋ	唄啡庍扒拜排敗派猈稗粺薜鞁
ㄅㄟ	俾卑埤悲揹杯柸桮棓椑波盃碑箄背萆藣襬諀錍陂鞞鵯
ㄅㄟˇ	北悖
ㄅㄟˋ	倍偝備北哱孛怫悖憊拔梖棑棓焙牬犕狽珼琲碚糒背茀菩萯葡蓓蜚被褙誖貝跋輩邶郥鄁鋇鞁骳
ㄅㄟ˙	唄臂
ㄅㄠ	包孢枹炮煲笣胞苞苴葆蕔裒褒鮑齙
ㄅㄠˇ	保呆堡媬寶怉葆褓飹飽駂鳵鴇
ㄅㄠˊ	砲窇薄鉋雹
ㄅㄠˋ	儤刨嘐嚗報忁怉抱暴曝瀑爆菢虣袌袍豹趵鉋鑤髱鮑
ㄅㄢ	卑彬扳搫搬攽斑斒班瘢籓般褩豳賁頒鳻
ㄅㄢˇ	昄板版粄舨般蝂覂鈑闆阪魬
